23.08.2023 19:08:40.036 [background-preinit] INFO  o.h.v.i.util.Version - HV000001: Hibernate Validator 6.2.5.Final
23.08.2023 19:08:40.040 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Starting OnlineResellingProjectApplication using Java 17.0.7 on MacBook-Pro-Oleg.local with PID 3820 (/Users/olegmetelev/IdeaProjects/OnlineResellingProject/target/classes started by olegmetelev in /Users/olegmetelev/IdeaProjects/OnlineResellingProject)
23.08.2023 19:08:40.040 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Starting OnlineResellingProjectApplication using Java 17.0.7 on MacBook-Pro-Oleg.local with PID 3820 (/Users/olegmetelev/IdeaProjects/OnlineResellingProject/target/classes started by olegmetelev in /Users/olegmetelev/IdeaProjects/OnlineResellingProject)
23.08.2023 19:08:40.041 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - No active profile set, falling back to 1 default profile: "default"
23.08.2023 19:08:40.041 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - No active profile set, falling back to 1 default profile: "default"
23.08.2023 19:08:40.062 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
23.08.2023 19:08:40.062 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
23.08.2023 19:08:40.436 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23.08.2023 19:08:40.465 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 3 JPA repository interfaces.
23.08.2023 19:08:40.793 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23.08.2023 19:08:40.798 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23.08.2023 19:08:40.798 [restartedMain] INFO  o.a.c.c.StandardService - Starting service [Tomcat]
23.08.2023 19:08:40.798 [restartedMain] INFO  o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
23.08.2023 19:08:40.832 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
23.08.2023 19:08:40.832 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 769 ms
23.08.2023 19:08:40.944 [restartedMain] INFO  c.z.h.HikariDataSource - HikariPool-1 - Starting...
23.08.2023 19:08:40.996 [restartedMain] INFO  c.z.h.HikariDataSource - HikariPool-1 - Start completed.
23.08.2023 19:08:41.165 [restartedMain] INFO  liquibase.database - Set default schema name to public
23.08.2023 19:08:41.210 [restartedMain] INFO  l.lockservice - Successfully acquired change log lock
23.08.2023 19:08:41.302 [restartedMain] INFO  liquibase.changelog - Reading from public.databasechangelog
23.08.2023 19:08:41.327 [restartedMain] INFO  l.lockservice - Successfully released change log lock
23.08.2023 19:08:41.361 [restartedMain] INFO  o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
23.08.2023 19:08:41.384 [restartedMain] INFO  o.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
23.08.2023 19:08:41.450 [restartedMain] INFO  o.h.a.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
23.08.2023 19:08:41.493 [restartedMain] INFO  o.h.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
23.08.2023 19:08:41.792 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
23.08.2023 19:08:41.796 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
23.08.2023 19:08:41.806 [restartedMain] INFO  c.e.o.s.i.FilesServiceImpl - File service init method
23.08.2023 19:08:41.806 [restartedMain] INFO  c.e.o.s.i.FilesServiceImpl - File service init method
23.08.2023 19:08:42.103 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
23.08.2023 19:08:42.370 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@711ddf40, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7e6bb15, org.springframework.security.web.context.SecurityContextPersistenceFilter@579b8ba0, org.springframework.security.web.header.HeaderWriterFilter@798a830, org.springframework.web.filter.CorsFilter@19b21fb0, org.springframework.security.web.authentication.logout.LogoutFilter@10b5be02, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5975ef11, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4f4b1666, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6178911, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@46037f70, org.springframework.security.web.session.SessionManagementFilter@13a069fa, org.springframework.security.web.access.ExceptionTranslationFilter@612f9c0, org.springframework.security.web.access.intercept.AuthorizationFilter@53bfbe95]
23.08.2023 19:08:42.502 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
23.08.2023 19:08:42.515 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23.08.2023 19:08:42.524 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23.08.2023 19:08:42.531 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Started OnlineResellingProjectApplication in 2.659 seconds (JVM running for 3.062)
23.08.2023 19:08:42.531 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Started OnlineResellingProjectApplication in 2.659 seconds (JVM running for 3.062)
23.08.2023 19:09:17.662 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
23.08.2023 19:09:17.665 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
23.08.2023 19:09:17.666 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
23.08.2023 21:55:58.003 [background-preinit] INFO  o.h.v.i.util.Version - HV000001: Hibernate Validator 6.2.5.Final
23.08.2023 21:55:58.007 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Starting OnlineResellingProjectApplication using Java 17.0.7 on MacBook-Pro-Oleg.local with PID 5077 (/Users/olegmetelev/IdeaProjects/OnlineResellingProject/target/classes started by olegmetelev in /Users/olegmetelev/IdeaProjects/OnlineResellingProject)
23.08.2023 21:55:58.007 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Starting OnlineResellingProjectApplication using Java 17.0.7 on MacBook-Pro-Oleg.local with PID 5077 (/Users/olegmetelev/IdeaProjects/OnlineResellingProject/target/classes started by olegmetelev in /Users/olegmetelev/IdeaProjects/OnlineResellingProject)
23.08.2023 21:55:58.007 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - No active profile set, falling back to 1 default profile: "default"
23.08.2023 21:55:58.007 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - No active profile set, falling back to 1 default profile: "default"
